Province,Year,scenario,statistic,rx1day,additive_bias,overlap_n,rx1day_aligned
新疆,2048,ssp119,p90,15.41,-12.50277846288889,9,2.907221537111111
新疆,2049,ssp119,p90,15.65,-12.50277846288889,9,3.147221537111111
新疆,2050,ssp119,p90,15.6,-12.50277846288889,9,3.0972215371111105
西藏,2024,ssp119,p90,25.12,-15.613575106,9,9.506424894
西藏,2025,ssp119,p90,26.25,-15.613575106,9,10.636424894
西藏,2026,ssp119,p90,25.08,-15.613575106,9,9.466424893999998
西藏,2027,ssp119,p90,26.27,-15.613575106,9,10.656424893999999
西藏,2028,ssp119,p90,25.49,-15.613575106,9,9.876424893999998
西藏,2029,ssp119,p90,25.3,-15.613575106,9,9.686424894
西藏,2030,ssp119,p90,27.08,-15.613575106,9,11.466424893999998
西藏,2031,ssp119,p90,29.43,-15.613575106,9,13.816424893999999
西藏,2032,ssp119,p90,26.65,-15.613575106,9,11.036424893999998
西藏,2033,ssp119,p90,26.7,-15.613575106,9,11.086424893999999
西藏,2034,ssp119,p90,26.34,-15.613575106,9,10.726424893999999
西藏,2035,ssp119,p90,27.48,-15.613575106,9,11.866424894
西藏,2036,ssp119,p90,28.37,-15.613575106,9,12.756424894
西藏,2037,ssp119,p90,27.52,-15.613575106,9,11.906424893999999
西藏,2038,ssp119,p90,28.04,-15.613575106,9,12.426424893999998
西藏,2039,ssp119,p90,27.54,-15.613575106,9,11.926424893999998
西藏,2040,ssp119,p90,28.1,-15.613575106,9,12.486424894
西藏,2041,ssp119,p90,28.56,-15.613575106,9,12.946424893999998
西藏,2042,ssp119,p90,28.12,-15.613575106,9,12.506424894
西藏,2043,ssp119,p90,28.21,-15.613575106,9,12.596424894
西藏,2044,ssp119,p90,28.2,-15.613575106,9,12.586424893999999
西藏,2045,ssp119,p90,28.88,-15.613575106,9,13.266424893999998
西藏,2046,ssp119,p90,29.89,-15.613575106,9,14.276424894
西藏,2047,ssp119,p90,29.89,-15.613575106,9,14.276424894
西藏,2048,ssp119,p90,29.36,-15.613575106,9,13.746424893999999
西藏,2049,ssp119,p90,30.2,-15.613575106,9,14.586424893999999
西藏,2050,ssp119,p90,32.91,-15.613575106,9,17.296424893999998
云南,2024,ssp119,p90,52.93,-27.32763215888889,9,25.60236784111111
云南,2025,ssp119,p90,53.62,-27.32763215888889,9,26.29236784111111
云南,2026,ssp119,p90,54.88,-27.32763215888889,9,27.552367841111113
云南,2027,ssp119,p90,53.42,-27.32763215888889,9,26.092367841111113
云南,2028,ssp119,p90,52.73,-27.32763215888889,9,25.402367841111108
