country,country_code,year,time_key,scenario,statistic,tas,source_file
China,CHN,2082,2082-07,ssp119,p90,8.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2083,2083-07,ssp119,p90,8.85,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2084,2084-07,ssp119,p90,8.88,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2085,2085-07,ssp119,p90,8.88,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2086,2086-07,ssp119,p90,8.88,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2087,2087-07,ssp119,p90,8.85,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2088,2088-07,ssp119,p90,8.83,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2089,2089-07,ssp119,p90,8.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2090,2090-07,ssp119,p90,8.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2091,2091-07,ssp119,p90,8.85,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2092,2092-07,ssp119,p90,8.83,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2093,2093-07,ssp119,p90,8.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2094,2094-07,ssp119,p90,8.93,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2095,2095-07,ssp119,p90,8.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2096,2096-07,ssp119,p90,8.93,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2097,2097-07,ssp119,p90,8.98,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2098,2098-07,ssp119,p90,8.98,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2099,2099-07,ssp119,p90,9.03,tas_timeseries_CHN_2015-2100_median_p10_p90.json
