Province,Year,scenario,statistic,省平均气温,additive_bias,overlap_n,省平均气温_aligned
浙江,2043,ssp126,p90,19.64,-1.5994125988888888,9,18.04058740111111
浙江,2044,ssp126,p90,19.33,-1.5994125988888888,9,17.73058740111111
浙江,2045,ssp126,p90,19.88,-1.5994125988888888,9,18.28058740111111
浙江,2046,ssp126,p90,19.75,-1.5994125988888888,9,18.15058740111111
浙江,2047,ssp126,p90,19.77,-1.5994125988888888,9,18.17058740111111
浙江,2048,ssp126,p90,19.7,-1.5994125988888888,9,18.10058740111111
浙江,2049,ssp126,p90,19.58,-1.5994125988888888,9,17.98058740111111
浙江,2050,ssp126,p90,19.84,-1.5994125988888888,9,18.24058740111111
浙江,2024,ssp245,median,17.91,-0.7594125988888886,9,17.15058740111111
浙江,2025,ssp245,median,17.9,-0.7594125988888886,9,17.14058740111111
浙江,2026,ssp245,median,18.08,-0.7594125988888886,9,17.32058740111111
浙江,2027,ssp245,median,18.07,-0.7594125988888886,9,17.31058740111111
浙江,2028,ssp245,median,18.16,-0.7594125988888886,9,17.40058740111111
浙江,2029,ssp245,median,18.24,-0.7594125988888886,9,17.48058740111111
浙江,2030,ssp245,median,18.06,-0.7594125988888886,9,17.30058740111111
浙江,2031,ssp245,median,18.11,-0.7594125988888886,9,17.35058740111111
浙江,2032,ssp245,median,18.36,-0.7594125988888886,9,17.60058740111111
浙江,2033,ssp245,median,18.41,-0.7594125988888886,9,17.65058740111111
浙江,2034,ssp245,median,18.4,-0.7594125988888886,9,17.64058740111111
浙江,2035,ssp245,median,18.46,-0.7594125988888886,9,17.70058740111111
浙江,2036,ssp245,median,18.34,-0.7594125988888886,9,17.58058740111111
浙江,2037,ssp245,median,18.56,-0.7594125988888886,9,17.80058740111111
浙江,2038,ssp245,median,18.66,-0.7594125988888886,9,17.90058740111111
浙江,2039,ssp245,median,18.6,-0.7594125988888886,9,17.84058740111111
浙江,2040,ssp245,median,18.37,-0.7594125988888886,9,17.61058740111111
浙江,2041,ssp245,median,18.5,-0.7594125988888886,9,17.74058740111111
浙江,2042,ssp245,median,18.38,-0.7594125988888886,9,17.62058740111111
浙江,2043,ssp245,median,18.52,-0.7594125988888886,9,17.76058740111111
浙江,2044,ssp245,median,18.48,-0.7594125988888886,9,17.72058740111111
