AMR,Predictor,Coef,CI_lo,CI_hi,p,N,R2_within
氮氧化物,省平均气温,22.845561301242796,-16.46901630823212,62.16013891071771,0.25613610791123254,239,0.5743681003694806
氮氧化物,省平均降水,-6.2399067482099495,-13.854006633563866,1.3741931371439664,0.10985186431989291,239,0.5743681003694806
氮氧化物,R1xday,0.5231256996463741,-0.5505867881690635,1.5968381874618118,0.3408047597277901,239,0.5743681003694806
氮氧化物,PM2.5,7.111116122409567,3.2403272512969097,10.981904993522225,0.00040342514157143405,239,0.5743681003694806
氮氧化物,医疗水平,-1.2691322206811524,-10.67408710377367,8.135822662411366,0.7916860234081728,239,0.5743681003694806
氮氧化物,GDP,-11.712243094178628,-22.27236178436853,-1.1521244039887257,0.030934472500456778,239,0.5743681003694806
氮氧化物,城市用水普及率,-1.2841670101955334,-7.513387023757843,4.945053003366776,0.6866173044679862,239,0.5743681003694806
氮氧化物,生活垃圾无害化处理率,0.07325154300102818,-2.48431692666604,2.6308200126680963,0.9552911134594619,239,0.5743681003694806
氮氧化物,抗菌药物使用强度,-0.7928347305289368,-2.1108800799241276,0.5252106188662541,0.23985544029566852,239,0.5743681003694806
可支配收入,省平均气温,6517.925754571237,-4021.6805484495544,17057.532057592027,0.22695305401768628,239,0.2855663482609698
可支配收入,省平均降水,-52.081049005654265,-960.1723628721562,856.0102648608478,0.9106148844026021,239,0.2855663482609698
可支配收入,R1xday,241.2523121938662,-286.2175562824281,768.7221806701605,0.37112505154656805,239,0.2855663482609698
可支配收入,PM2.5,1400.635347284466,166.35193411177215,2634.91876045716,0.027296694416419465,239,0.2855663482609698
可支配收入,医疗水平,824.5887689801781,-1426.0516174044628,3075.229155364819,0.47356149587074237,239,0.2855663482609698
可支配收入,GDP,5529.848917124372,3105.817022411395,7953.880811837349,1.3248693464529282e-05,239,0.2855663482609698
可支配收入,城市用水普及率,-1929.762457145435,-3458.0379944428096,-401.4869198480608,0.01418960443460704,239,0.2855663482609698
可支配收入,生活垃圾无害化处理率,-493.07321514111976,-1105.531049085759,119.38461880351946,0.1162163377979899,239,0.2855663482609698
可支配收入,抗菌药物使用强度,2.2889526177647745,-237.14378356937314,241.7216888049027,0.9850699484226193,239,0.2855663482609698
食品消费量,省平均气温,17.93072465783475,-18.21526162480057,54.07671094047007,0.33212548260248953,239,-0.2666110877175809
食品消费量,省平均降水,2.9929683042838784,-1.584953758080582,7.570890366648339,0.20158536296792273,239,-0.2666110877175809
食品消费量,R1xday,0.5388963529089641,-1.4535494210150408,2.531342126832969,0.5966375694126449,239,-0.2666110877175809
食品消费量,PM2.5,-4.189405024529044,-7.608359575500583,-0.7704504735575055,0.017268447568470124,239,-0.2666110877175809
食品消费量,医疗水平,6.155464383032797,-6.546059296661426,18.85698806272702,0.343369676097911,239,-0.2666110877175809
食品消费量,GDP,3.8907604531915903,-4.633480353934956,12.415001260318135,0.3721086837533316,239,-0.2666110877175809
食品消费量,城市用水普及率,-0.8238885909473798,-8.325199085167519,6.677421903272759,0.8297826229056535,239,-0.2666110877175809
食品消费量,生活垃圾无害化处理率,-1.6279356126652775,-4.268113932488033,1.012242707157478,0.2283192941720582,239,-0.2666110877175809
食品消费量,抗菌药物使用强度,0.6265965536662377,-1.5063690514602543,2.75956215879273,0.5654313859892057,239,-0.2666110877175809
文盲比例,省平均气温,2.0663178780195333,-1.0684660434698339,5.2011017995089,0.19791946228855273,239,0.15495531245039806
文盲比例,省平均降水,0.12302705672195306,-0.5645816496417253,0.8106357630856313,0.7262082681220494,239,0.15495531245039806
文盲比例,R1xday,0.04473437808674814,-0.1673133110765746,0.2567820672500709,0.6797074733613502,239,0.15495531245039806
文盲比例,PM2.5,-0.03677037574451422,-0.30403126004238157,0.23049050855335315,0.7877088775777428,239,0.15495531245039806
文盲比例,医疗水平,-0.20146220845519375,-1.2281126608525492,0.8251882439421616,0.7009455980333557,239,0.15495531245039806
文盲比例,GDP,-0.5829370881490171,-1.684284415894712,0.5184102395966778,0.3008394524311744,239,0.15495531245039806
文盲比例,城市用水普及率,-0.2825822666546305,-0.8012481480720458,0.23608361476278483,0.2869186678984825,239,0.15495531245039806
文盲比例,生活垃圾无害化处理率,0.09717716946115304,-0.09528111051911428,0.2896354494414204,0.32358199704878965,239,0.15495531245039806
文盲比例,抗菌药物使用强度,-0.12716226992293636,-0.3727352837153767,0.11841074386950393,0.31141249345320543,239,0.15495531245039806
建成区绿化覆盖率,省平均气温,-2.8428174829542665,-8.61052242855333,2.9248874626447967,0.3352254361021654,239,0.40714080446482526
建成区绿化覆盖率,省平均降水,-0.4051230319734908,-1.045699792287581,0.23545372834059936,0.21663880845299022,239,0.40714080446482526
建成区绿化覆盖率,R1xday,0.06227396805015209,-0.23691160413621945,0.3614595402365236,0.6837522300049836,239,0.40714080446482526
建成区绿化覆盖率,PM2.5,0.05826140860465867,-0.3229510732651684,0.43947389047448576,0.764842450969641,239,0.40714080446482526
建成区绿化覆盖率,医疗水平,0.5215747789133041,-0.47086564674811326,1.5140152045747213,0.3042646552042172,239,0.40714080446482526
建成区绿化覆盖率,GDP,-0.7096511145319554,-1.3666266117682526,-0.05267561729565817,0.035527800963836675,239,0.40714080446482526
建成区绿化覆盖率,城市用水普及率,0.507715741316524,-0.16090886903870327,1.1763403516717512,0.1383004096275886,239,0.40714080446482526
建成区绿化覆盖率,生活垃圾无害化处理率,0.44732374602611785,0.16368087817874405,0.7309666138734916,0.0022895530769628802,239,0.40714080446482526
